# Region Report
# Assembly name:  GRCz11
# Description:    Genome Reference Consortium Zebrafish Build 11
# Organism name:  Danio rerio (zebrafish)
# Infraspecific name:  strain=Tuebingen
# Taxid:          7955
# BioSample:      SAMN06930106
# BioProject:     PRJNA11776
# Submitter:      Genome Reference Consortium
# Date:           2017-05-09
# Synonyms:       danRer11	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000002035.4
# RefSeq assembly accession: GCF_000002035.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000175.4	GCF_000000175.5	Primary Assembly
## GCA_002119155.1	GCF_002119155.1	ALT_DRER_TU_1
## GCA_002119165.1	GCF_002119165.1	ALT_DRER_TU_2
## GCA_002119175.1	GCF_002119175.1	ALT_DRER_TU_3
## GCA_002119185.1	GCF_002119185.1	ALT_DRER_TU_4
## 	GCF_000002055.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
region30	1	29581513	30843828	alt-scaffold	KZ115027.1	NW_018394490.1	ALT_DRER_TU_1
region30	1	29581513	30843828	alt-scaffold	KZ115028.1	NW_018394491.1	ALT_DRER_TU_1
region30	1	29581513	30843828	alt-scaffold	KZ115029.1	NW_018394492.1	ALT_DRER_TU_1
region30	1	29581513	30843828	alt-scaffold	KZ114843.1	NW_018395218.1	ALT_DRER_TU_2
region31	1	30843929	31387469	alt-scaffold	KZ115030.1	NW_018394493.1	ALT_DRER_TU_1
region31	1	30843929	31387469	alt-scaffold	KZ114844.1	NW_018395219.1	ALT_DRER_TU_2
region32	1	32068437	32485180	alt-scaffold	KZ115031.1	NW_018394494.1	ALT_DRER_TU_1
region34	1	33856712	34624304	alt-scaffold	KZ115032.1	NW_018394495.1	ALT_DRER_TU_1
region34	1	33856712	34624304	alt-scaffold	KZ115033.1	NW_018394496.1	ALT_DRER_TU_1
region34	1	33856712	34624304	alt-scaffold	KZ114845.1	NW_018395220.1	ALT_DRER_TU_2
region35	1	35591855	35982366	alt-scaffold	KZ115034.1	NW_018394497.1	ALT_DRER_TU_1
region35	1	35591855	35982366	alt-scaffold	KZ114846.1	NW_018395221.1	ALT_DRER_TU_2
region36	1	36537453	36747169	alt-scaffold	KZ115035.1	NW_018394498.1	ALT_DRER_TU_1
region37	1	36910852	37103962	alt-scaffold	KZ115036.1	NW_018394499.1	ALT_DRER_TU_1
region38	1	40013576	40265521	alt-scaffold	KZ115037.1	NW_018394500.1	ALT_DRER_TU_1
region39	1	40770464	41164418	alt-scaffold	KZ115038.1	NW_018394501.1	ALT_DRER_TU_1
region39	1	40770464	41164418	alt-scaffold	KZ114847.1	NW_018395222.1	ALT_DRER_TU_2
region40	1	46200182	46429541	alt-scaffold	KZ115039.1	NW_018394502.1	ALT_DRER_TU_1
region41	1	59403127	59543579	alt-scaffold	KZ115040.1	NW_018394503.1	ALT_DRER_TU_1
region328	2	24580786	24918207	alt-scaffold	KZ115041.1	NW_018394504.1	ALT_DRER_TU_1
region329	2	37817978	37919482	alt-scaffold	KZ115042.1	NW_018394505.1	ALT_DRER_TU_1
region330	2	37957135	38465021	alt-scaffold	KZ115043.1	NW_018394506.1	ALT_DRER_TU_1
region331	2	38667520	39054851	alt-scaffold	KZ115044.1	NW_018394507.1	ALT_DRER_TU_1
region333	2	39448567	40030602	alt-scaffold	KZ115045.1	NW_018394508.1	ALT_DRER_TU_1
region333	2	39448567	40030602	alt-scaffold	KZ115046.1	NW_018394509.1	ALT_DRER_TU_1
region335	2	42509601	43106034	alt-scaffold	KZ115047.1	NW_018394510.1	ALT_DRER_TU_1
region335	2	42509601	43106034	alt-scaffold	KZ115048.1	NW_018394511.1	ALT_DRER_TU_1
region336	2	44079510	44604116	alt-scaffold	KZ115049.1	NW_018394512.1	ALT_DRER_TU_1
region336	2	44079510	44604116	alt-scaffold	KZ114848.1	NW_018395223.1	ALT_DRER_TU_2
region337	2	45167773	45520478	alt-scaffold	KZ115050.1	NW_018394513.1	ALT_DRER_TU_1
region338	2	47878014	48225700	alt-scaffold	KZ115051.1	NW_018394514.1	ALT_DRER_TU_1
region339	2	49891520	50301609	alt-scaffold	KZ115052.1	NW_018394515.1	ALT_DRER_TU_1
region339	2	49891520	50301609	alt-scaffold	KZ114849.1	NW_018395224.1	ALT_DRER_TU_2
region486	3	1502538	1868442	alt-scaffold	KZ115082.1	NW_018394545.1	ALT_DRER_TU_1
region487	3	5509197	5673468	alt-scaffold	KZ115053.1	NW_018394516.1	ALT_DRER_TU_1
region488	3	6869761	7216793	alt-scaffold	KZ115054.1	NW_018394517.1	ALT_DRER_TU_1
region488	3	6869761	7216793	alt-scaffold	KZ114850.1	NW_018395225.1	ALT_DRER_TU_2
region490	3	7854468	8195152	alt-scaffold	KZ115055.1	NW_018394518.1	ALT_DRER_TU_1
region490	3	7854468	8195152	alt-scaffold	KZ115056.1	NW_018394519.1	ALT_DRER_TU_1
region491	3	9395049	9815348	alt-scaffold	KZ115083.1	NW_018394546.1	ALT_DRER_TU_1
region492	3	11866543	12099641	alt-scaffold	KZ115057.1	NW_018394520.1	ALT_DRER_TU_1
region493	3	12822451	13076739	alt-scaffold	KZ115058.1	NW_018394521.1	ALT_DRER_TU_1
region494	3	13087866	13242369	alt-scaffold	KZ115059.1	NW_018394522.1	ALT_DRER_TU_1
region496	3	15079789	15654239	alt-scaffold	KZ115060.1	NW_018394523.1	ALT_DRER_TU_1
region496	3	15079789	15654239	alt-scaffold	KZ115061.1	NW_018394524.1	ALT_DRER_TU_1
region497	3	16242776	16708795	alt-scaffold	KZ115062.1	NW_018394525.1	ALT_DRER_TU_1
region498	3	17189675	17389616	alt-scaffold	KZ115063.1	NW_018394526.1	ALT_DRER_TU_1
region499	3	19527204	20025404	alt-scaffold	KZ115064.1	NW_018394527.1	ALT_DRER_TU_1
region501	3	20092176	20486248	alt-scaffold	KZ115065.1	NW_018394528.1	ALT_DRER_TU_1
region501	3	20092176	20486248	alt-scaffold	KZ115066.1	NW_018394529.1	ALT_DRER_TU_1
region502	3	22911066	23339234	alt-scaffold	KZ115067.1	NW_018394530.1	ALT_DRER_TU_1
region504	3	23999419	24959357	alt-scaffold	KZ115068.1	NW_018394531.1	ALT_DRER_TU_1
region504	3	23999419	24959357	alt-scaffold	KZ115069.1	NW_018394532.1	ALT_DRER_TU_1
region504	3	23999419	24959357	alt-scaffold	KZ114851.1	NW_018395226.1	ALT_DRER_TU_2
region506	3	30321265	31191015	alt-scaffold	KZ115070.1	NW_018394533.1	ALT_DRER_TU_1
region506	3	30321265	31191015	alt-scaffold	KZ115071.1	NW_018394534.1	ALT_DRER_TU_1
region507	3	32512984	33216471	alt-scaffold	KZ115072.1	NW_018394535.1	ALT_DRER_TU_1
region507	3	32512984	33216471	alt-scaffold	KZ114852.1	NW_018395227.1	ALT_DRER_TU_2
region508	3	47295228	47550887	alt-scaffold	KZ115078.1	NW_018394541.1	ALT_DRER_TU_1
region509	3	47733664	48062697	alt-scaffold	KZ115073.1	NW_018394536.1	ALT_DRER_TU_1
region510	3	48556720	49032696	alt-scaffold	KZ115074.1	NW_018394537.1	ALT_DRER_TU_1
region510	3	48556720	49032696	alt-scaffold	KZ114853.1	NW_018395228.1	ALT_DRER_TU_2
region511	3	49666704	49941749	alt-scaffold	KZ115075.1	NW_018394538.1	ALT_DRER_TU_1
region512	3	50139686	50605188	alt-scaffold	KZ115076.1	NW_018394539.1	ALT_DRER_TU_1
region513	3	50844369	51141301	alt-scaffold	KZ115077.1	NW_018394540.1	ALT_DRER_TU_1
region514	3	51269398	51614417	alt-scaffold	KZ115079.1	NW_018394542.1	ALT_DRER_TU_1
region515	3	52248902	52628435	alt-scaffold	KZ115080.1	NW_018394543.1	ALT_DRER_TU_1
region515	3	52248902	52628435	alt-scaffold	KZ114854.1	NW_018395229.1	ALT_DRER_TU_2
region516	3	62181762	62401494	alt-scaffold	KZ115081.1	NW_018394544.1	ALT_DRER_TU_1
region517	4	6544223	6671317	alt-scaffold	KZ115084.1	NW_018394547.1	ALT_DRER_TU_1
region518	4	7417615	7816875	alt-scaffold	KZ115085.1	NW_018394548.1	ALT_DRER_TU_1
region519	4	7912920	8264318	alt-scaffold	KZ115086.1	NW_018394549.1	ALT_DRER_TU_1
region520	4	9448910	10022708	alt-scaffold	KZ115087.1	NW_018394550.1	ALT_DRER_TU_1
region520	4	9448910	10022708	alt-scaffold	KZ114855.1	NW_018395230.1	ALT_DRER_TU_2
region521	4	10669008	11001977	alt-scaffold	KZ115088.1	NW_018394551.1	ALT_DRER_TU_1
region522	4	11303937	11556992	alt-scaffold	KZ115089.1	NW_018394552.1	ALT_DRER_TU_1
region523	4	12375458	12726878	alt-scaffold	KZ115090.1	NW_018394553.1	ALT_DRER_TU_1
region524	4	22760091	23307094	alt-scaffold	KZ115091.1	NW_018394554.1	ALT_DRER_TU_1
region524	4	22760091	23307094	alt-scaffold	KZ114856.1	NW_018395231.1	ALT_DRER_TU_2
region525	4	23451112	23966836	alt-scaffold	KZ115092.1	NW_018394555.1	ALT_DRER_TU_1
region525	4	23451112	23966836	alt-scaffold	KZ114857.1	NW_018395232.1	ALT_DRER_TU_2
region526	4	25526325	25894772	alt-scaffold	KZ115093.1	NW_018394556.1	ALT_DRER_TU_1
region527	4	26317612	26718862	alt-scaffold	KZ115094.1	NW_018394557.1	ALT_DRER_TU_1
region527	4	26317612	26718862	alt-scaffold	KZ114858.1	NW_018395233.1	ALT_DRER_TU_2
region528	4	27038986	27390678	alt-scaffold	KZ115095.1	NW_018394558.1	ALT_DRER_TU_1
region529	4	29334070	29679077	alt-scaffold	KZ115096.1	NW_018394559.1	ALT_DRER_TU_1
region530	4	73593825	73828673	alt-scaffold	KZ115097.1	NW_018394560.1	ALT_DRER_TU_1
region531	4	77549882	77716357	alt-scaffold	KZ115098.1	NW_018394561.1	ALT_DRER_TU_1
region532	5	4048908	4298006	alt-scaffold	KZ115099.1	NW_018394562.1	ALT_DRER_TU_1
region533	5	6682381	6905161	alt-scaffold	KZ115100.1	NW_018394563.1	ALT_DRER_TU_1
region534	5	8909329	9242266	alt-scaffold	KZ115101.1	NW_018394564.1	ALT_DRER_TU_1
region534	5	8909329	9242266	alt-scaffold	KZ114859.1	NW_018395234.1	ALT_DRER_TU_2
region535	5	9632325	10169005	alt-scaffold	KZ115102.1	NW_018394565.1	ALT_DRER_TU_1
region535	5	9632325	10169005	alt-scaffold	KZ115103.1	NW_018394566.1	ALT_DRER_TU_1
region535	5	9632325	10169005	alt-scaffold	KZ114860.1	NW_018395235.1	ALT_DRER_TU_2
region535	5	9632325	10169005	alt-scaffold	KZ115748.1	NW_018395374.1	ALT_DRER_TU_3
region536	5	10264736	10569736	alt-scaffold	KZ115104.1	NW_018394567.1	ALT_DRER_TU_1
region537	5	12560695	12826668	alt-scaffold	KZ115105.1	NW_018394568.1	ALT_DRER_TU_1
region538	5	12841548	13240429	alt-scaffold	KZ115106.1	NW_018394569.1	ALT_DRER_TU_1
region539	5	13830122	14156366	alt-scaffold	KZ115107.1	NW_018394570.1	ALT_DRER_TU_1
region540	5	15474792	15849216	alt-scaffold	KZ115108.1	NW_018394571.1	ALT_DRER_TU_1
region543	5	22007719	23114395	alt-scaffold	KZ115109.1	NW_018394572.1	ALT_DRER_TU_1
region543	5	22007719	23114395	alt-scaffold	KZ115110.1	NW_018394573.1	ALT_DRER_TU_1
region543	5	22007719	23114395	alt-scaffold	KZ115111.1	NW_018394574.1	ALT_DRER_TU_1
region545	5	23994270	24700700	alt-scaffold	KZ115112.1	NW_018394575.1	ALT_DRER_TU_1
region545	5	23994270	24700700	alt-scaffold	KZ115113.1	NW_018394576.1	ALT_DRER_TU_1
region546	5	27535712	28048009	alt-scaffold	KZ115114.1	NW_018394577.1	ALT_DRER_TU_1
region546	5	27535712	28048009	alt-scaffold	KZ114861.1	NW_018395236.1	ALT_DRER_TU_2
region547	5	28133055	28438023	alt-scaffold	KZ115115.1	NW_018394578.1	ALT_DRER_TU_1
region548	5	28541306	29254110	alt-scaffold	KZ115116.1	NW_018394579.1	ALT_DRER_TU_1
region548	5	28541306	29254110	alt-scaffold	KZ115117.1	NW_018394580.1	ALT_DRER_TU_1
region548	5	28541306	29254110	alt-scaffold	KZ114862.1	NW_018395237.1	ALT_DRER_TU_2
region548	5	28541306	29254110	alt-scaffold	KZ114863.1	NW_018395238.1	ALT_DRER_TU_2
region549	5	29640456	29856136	alt-scaffold	KZ115118.1	NW_018394581.1	ALT_DRER_TU_1
region549	5	29640456	29856136	alt-scaffold	KZ114864.1	NW_018395239.1	ALT_DRER_TU_2
region550	5	30140600	30366308	alt-scaffold	KZ115119.1	NW_018394582.1	ALT_DRER_TU_1
region551	5	30717976	31076058	alt-scaffold	KZ115120.1	NW_018394583.1	ALT_DRER_TU_1
region553	5	31356485	31970039	alt-scaffold	KZ115121.1	NW_018394584.1	ALT_DRER_TU_1
region553	5	31356485	31970039	alt-scaffold	KZ115122.1	NW_018394585.1	ALT_DRER_TU_1
region554	5	32500596	33214480	alt-scaffold	KZ115123.1	NW_018394586.1	ALT_DRER_TU_1
region554	5	32500596	33214480	alt-scaffold	KZ115124.1	NW_018394587.1	ALT_DRER_TU_1
region554	5	32500596	33214480	alt-scaffold	KZ114865.1	NW_018395240.1	ALT_DRER_TU_2
region556	5	33292275	34333632	alt-scaffold	KZ115125.1	NW_018394588.1	ALT_DRER_TU_1
region556	5	33292275	34333632	alt-scaffold	KZ115126.1	NW_018394589.1	ALT_DRER_TU_1
region557	5	34711598	34994098	alt-scaffold	KZ115127.1	NW_018394590.1	ALT_DRER_TU_1
region559	5	35162233	35947420	alt-scaffold	KZ115128.1	NW_018394591.1	ALT_DRER_TU_1
region559	5	35162233	35947420	alt-scaffold	KZ115129.1	NW_018394592.1	ALT_DRER_TU_1
region560	5	35993386	36196210	alt-scaffold	KZ115130.1	NW_018394593.1	ALT_DRER_TU_1
region561	5	36254284	36551015	alt-scaffold	KZ115131.1	NW_018394594.1	ALT_DRER_TU_1
region562	5	36758986	37485953	alt-scaffold	KZ115132.1	NW_018394595.1	ALT_DRER_TU_1
region562	5	36758986	37485953	alt-scaffold	KZ114866.1	NW_018395241.1	ALT_DRER_TU_2
region562	5	36758986	37485953	alt-scaffold	KZ115749.1	NW_018395375.1	ALT_DRER_TU_3
region563	5	37836091	38233756	alt-scaffold	KZ115133.1	NW_018394596.1	ALT_DRER_TU_1
region564	5	38264858	38530598	alt-scaffold	KZ115134.1	NW_018394597.1	ALT_DRER_TU_1
region565	5	38651760	39253645	alt-scaffold	KZ115135.1	NW_018394598.1	ALT_DRER_TU_1
region567	5	39369179	40032086	alt-scaffold	KZ115136.1	NW_018394599.1	ALT_DRER_TU_1
region567	5	39369179	40032086	alt-scaffold	KZ115137.1	NW_018394600.1	ALT_DRER_TU_1
region568	5	40177534	40572762	alt-scaffold	KZ115138.1	NW_018394601.1	ALT_DRER_TU_1
region570	5	40935274	42130137	alt-scaffold	KZ115139.1	NW_018394602.1	ALT_DRER_TU_1
region570	5	40935274	42130137	alt-scaffold	KZ115140.1	NW_018394603.1	ALT_DRER_TU_1
region570	5	40935274	42130137	alt-scaffold	KZ114867.1	NW_018395242.1	ALT_DRER_TU_2
region571	5	43862405	44220192	alt-scaffold	KZ115141.1	NW_018394604.1	ALT_DRER_TU_1
region572	5	44228956	44472124	alt-scaffold	KZ115142.1	NW_018394605.1	ALT_DRER_TU_1
region572	5	44228956	44472124	alt-scaffold	KZ114868.1	NW_018395243.1	ALT_DRER_TU_2
region573	5	44586661	44756943	alt-scaffold	KZ115143.1	NW_018394606.1	ALT_DRER_TU_1
region574	5	44969712	45319209	alt-scaffold	KZ115144.1	NW_018394607.1	ALT_DRER_TU_1
region575	5	45473535	45653170	alt-scaffold	KZ115145.1	NW_018394608.1	ALT_DRER_TU_1
region575	5	45473535	45653170	alt-scaffold	KZ114869.1	NW_018395244.1	ALT_DRER_TU_2
region576	5	47114885	47612249	alt-scaffold	KZ115146.1	NW_018394609.1	ALT_DRER_TU_1
region576	5	47114885	47612249	alt-scaffold	KZ114870.1	NW_018395245.1	ALT_DRER_TU_2
region578	5	50869775	51608607	alt-scaffold	KZ115147.1	NW_018394610.1	ALT_DRER_TU_1
region578	5	50869775	51608607	alt-scaffold	KZ115148.1	NW_018394611.1	ALT_DRER_TU_1
region579	5	55136586	55435428	alt-scaffold	KZ115149.1	NW_018394612.1	ALT_DRER_TU_1
region581	5	55938091	56556882	alt-scaffold	KZ115150.1	NW_018394613.1	ALT_DRER_TU_1
region581	5	55938091	56556882	alt-scaffold	KZ115151.1	NW_018394614.1	ALT_DRER_TU_1
region582	5	56656902	57167019	alt-scaffold	KZ115152.1	NW_018394615.1	ALT_DRER_TU_1
region582	5	56656902	57167019	alt-scaffold	KZ114871.1	NW_018395246.1	ALT_DRER_TU_2
region582	5	56656902	57167019	alt-scaffold	KZ115750.1	NW_018395376.1	ALT_DRER_TU_3
region583	5	57192613	57658761	alt-scaffold	KZ115153.1	NW_018394616.1	ALT_DRER_TU_1
region583	5	57192613	57658761	alt-scaffold	KZ114872.1	NW_018395247.1	ALT_DRER_TU_2
region584	5	57810811	58133090	alt-scaffold	KZ115154.1	NW_018394617.1	ALT_DRER_TU_1
region585	5	58746763	58966755	alt-scaffold	KZ115155.1	NW_018394618.1	ALT_DRER_TU_1
region586	5	59012698	59335456	alt-scaffold	KZ115156.1	NW_018394619.1	ALT_DRER_TU_1
region587	5	59373036	59609624	alt-scaffold	KZ115157.1	NW_018394620.1	ALT_DRER_TU_1
region588	5	65080028	65268734	alt-scaffold	KZ115158.1	NW_018394621.1	ALT_DRER_TU_1
region589	5	69621942	70061641	alt-scaffold	KZ115159.1	NW_018394622.1	ALT_DRER_TU_1
region589	5	69621942	70061641	alt-scaffold	KZ114873.1	NW_018395248.1	ALT_DRER_TU_2
region590	6	4869317	5156299	alt-scaffold	KZ115160.1	NW_018394623.1	ALT_DRER_TU_1
region591	6	6116888	6618814	alt-scaffold	KZ115161.1	NW_018394624.1	ALT_DRER_TU_1
region592	6	7239621	7472162	alt-scaffold	KZ115162.1	NW_018394625.1	ALT_DRER_TU_1
region593	6	8175562	8388926	alt-scaffold	KZ115163.1	NW_018394626.1	ALT_DRER_TU_1
region594	6	8732595	9465177	alt-scaffold	KZ115164.1	NW_018394627.1	ALT_DRER_TU_1
region594	6	8732595	9465177	alt-scaffold	KZ114874.1	NW_018395249.1	ALT_DRER_TU_2
region595	6	13847495	14102227	alt-scaffold	KZ115165.1	NW_018394628.1	ALT_DRER_TU_1
region596	6	15548278	15880733	alt-scaffold	KZ115166.1	NW_018394629.1	ALT_DRER_TU_1
region596	6	15548278	15880733	alt-scaffold	KZ114875.1	NW_018395250.1	ALT_DRER_TU_2
region597	6	15917888	16366198	alt-scaffold	KZ115167.1	NW_018394630.1	ALT_DRER_TU_1
region598	6	17716143	18042876	alt-scaffold	KZ115168.1	NW_018394631.1	ALT_DRER_TU_1
region599	6	18111098	19297374	alt-scaffold	KZ115173.1	NW_018394636.1	ALT_DRER_TU_1
region599	6	18111098	19297374	alt-scaffold	KZ115174.1	NW_018394637.1	ALT_DRER_TU_1
region599	6	18111098	19297374	alt-scaffold	KZ114877.1	NW_018395252.1	ALT_DRER_TU_2
region601	6	19325289	19995208	alt-scaffold	KZ115175.1	NW_018394638.1	ALT_DRER_TU_1
region601	6	19325289	19995208	alt-scaffold	KZ115176.1	NW_018394639.1	ALT_DRER_TU_1
region601	6	19325289	19995208	alt-scaffold	KZ114878.1	NW_018395253.1	ALT_DRER_TU_2
region603	6	20799347	21388689	alt-scaffold	KZ115170.1	NW_018394633.1	ALT_DRER_TU_1
region603	6	20799347	21388689	alt-scaffold	KZ115171.1	NW_018394634.1	ALT_DRER_TU_1
region604	6	21976005	22894976	alt-scaffold	KZ115172.1	NW_018394635.1	ALT_DRER_TU_1
region604	6	21976005	22894976	alt-scaffold	KZ114876.1	NW_018395251.1	ALT_DRER_TU_2
region605	6	23200365	23433209	alt-scaffold	KZ115169.1	NW_018394632.1	ALT_DRER_TU_1
region606	6	23776986	24108040	alt-scaffold	KZ115177.1	NW_018394640.1	ALT_DRER_TU_1
region607	6	24280638	24993330	alt-scaffold	KZ115178.1	NW_018394641.1	ALT_DRER_TU_1
region607	6	24280638	24993330	alt-scaffold	KZ115179.1	NW_018394642.1	ALT_DRER_TU_1
region607	6	24280638	24993330	alt-scaffold	KZ114879.1	NW_018395254.1	ALT_DRER_TU_2
region607	6	24280638	24993330	alt-scaffold	KZ115751.1	NW_018395377.1	ALT_DRER_TU_3
region608	6	25317529	25701374	alt-scaffold	KZ115180.1	NW_018394643.1	ALT_DRER_TU_1
region609	6	25902335	26152618	alt-scaffold	KZ115181.1	NW_018394644.1	ALT_DRER_TU_1
region611	6	28035625	29164583	alt-scaffold	KZ115182.1	NW_018394645.1	ALT_DRER_TU_1
region611	6	28035625	29164583	alt-scaffold	KZ115183.1	NW_018394646.1	ALT_DRER_TU_1
region611	6	28035625	29164583	alt-scaffold	KZ114880.1	NW_018395255.1	ALT_DRER_TU_2
region611	6	28035625	29164583	alt-scaffold	KZ115752.1	NW_018395378.1	ALT_DRER_TU_3
region612	6	29279922	30039657	alt-scaffold	KZ115184.1	NW_018394647.1	ALT_DRER_TU_1
region612	6	29279922	30039657	alt-scaffold	KZ115185.1	NW_018394648.1	ALT_DRER_TU_1
region612	6	29279922	30039657	alt-scaffold	KZ114881.1	NW_018395256.1	ALT_DRER_TU_2
region612	6	29279922	30039657	alt-scaffold	KZ115753.1	NW_018395379.1	ALT_DRER_TU_3
region612	6	29279922	30039657	alt-scaffold	KZ115761.1	NW_018395387.1	ALT_DRER_TU_4
region613	6	30523868	30778552	alt-scaffold	KZ115186.1	NW_018394649.1	ALT_DRER_TU_1
region614	6	30821677	31313394	alt-scaffold	KZ115187.1	NW_018394650.1	ALT_DRER_TU_1
region614	6	30821677	31313394	alt-scaffold	KZ114882.1	NW_018395257.1	ALT_DRER_TU_2
region615	6	31373536	31704436	alt-scaffold	KZ115188.1	NW_018394651.1	ALT_DRER_TU_1
