,species,mirid,mirfam,chrom,start,end,strand,True_positive
23,Anolis_carolinensis,Aca-Mir-210_pre,Mir-210,1,74505535,74505595,+,False_chromo
24,Monodelphis_domestica,Mdo-Mir-103-P3_pre,Mir-103,1,81981121,81981180,+,True
25,Anolis_carolinensis,Aca-Mir-1788_pre,Mir-1788,1,87812135,87812194,-,False_chromo
26,Anolis_carolinensis,Aca-Mir-375_pre,Mir-375,1,87863754,87863811,-,True
27,Anolis_carolinensis,Aca-Mir-26-P1_pre,Mir-26,1,88581323,88581383,-,False_location
28,Anolis_carolinensis,Aca-Mir-130-P1a_pre,Mir-130,1,91616120,91616181,-,True
29,Gallus_gallus,Gga-Mir-1806_pre,Mir-1806,1,93829828,93829887,-,False_chromo
30,Anolis_carolinensis,Aca-Mir-153-P1_pre,Mir-153,1,95540877,95540935,+,False_chromo
31,Anolis_carolinensis,Aca-Mir-128-P1_pre,Mir-128,1,96668164,96668219,+,True
32,Gallus_gallus,Gga-Mir-10-P2c_pre,Mir-10,1,99018053,99018112,+,False_location
33,Gallus_gallus,Gga-Let-7-P1c_pre,Let-7,1,99018804,99018870,+,False_location
34,Gallus_gallus,Gga-Mir-10-P3c_pre,Mir-10,1,99051095,99051156,+,False_location
35,Gallus_gallus,Gga-Mir-155_pre,Mir-155,1,102485101,102485161,+,False_location
36,Monodelphis_domestica,Mdo-Mir-146-P2_pre,Mir-146,1,109630337,109630396,-,True
37,Gallus_gallus,Gga-Mir-221-P2_pre,Mir-221,1,110650047,110650109,+,False_location
38,Gallus_gallus,Gga-Mir-221-P1_pre,Mir-221,1,110650557,110650619,+,False_location
39,Anolis_carolinensis,Aca-Mir-218-P2_pre,Mir-218,1,112860800,112860863,-,True
40,Monodelphis_domestica,Mdo-Mir-7292_pre,Mir-7292,1,118003103,118003165,-,False_chromo
41,Monodelphis_domestica,Mdo-Mir-184_pre,Mir-184,1,120539111,120539172,-,True
42,Monodelphis_domestica,Mdo-Mir-7296_pre,Mir-7296,1,122600868,122600931,-,False_chromo
43,Monodelphis_domestica,Mdo-Mir-9-P3_pre,Mir-9,1,122711584,122711644,-,False_chromo
44,Anolis_carolinensis,Aca-Mir-1-P3_pre,Mir-1,1,122853042,122853101,+,True
45,Anolis_carolinensis,Aca-Mir-133-P3-v1_pre,Mir-133,1,122859611,122859669,+,True
46,Anolis_carolinensis,Aca-Mir-133-P3-v2_pre,Mir-133,1,122859611,122859669,+,True
47,Monodelphis_domestica,Mdo-Mir-7-P2_pre,Mir-7,1,123558721,123558784,-,True
48,Gallus_gallus,Gga-Mir-1397_pre,Mir-1397,1,126961716,126961773,+,False_chromo
49,Gallus_gallus,Gga-Mir-1805_pre,Mir-1805,1,131070184,131070244,-,False_chromo
50,Anolis_carolinensis,Aca-Mir-1641_pre,Mir-1641,1,133663074,133663133,-,False_chromo
51,Gallus_gallus,Gga-Mir-1552_pre,Mir-1552,1,133682290,133682347,+,False_chromo
52,Gallus_gallus,Gga-Mir-1736_pre,Mir-1736,1,139198655,139198721,-,False_chromo
53,Monodelphis_domestica,Mdo-Mir-204-P2_pre,Mir-204,1,142496661,142496718,-,False_chromo
54,Gallus_gallus,Gga-Mir-2984_pre,Mir-2984,1,144520188,144520254,-,False_chromo
55,Gallus_gallus,Gga-Mir-1555_pre,Mir-1555,1,144936081,144936141,-,False_chromo
56,Anolis_carolinensis,Aca-Mir-1329_pre,Mir-1329,1,147380645,147380705,-,False_chromo
57,Monodelphis_domestica,Mdo-Mir-190-P1_pre,Mir-190,1,147980895,147980952,+,True
58,Gallus_gallus,Gga-Mir-92-P1a_pre,Mir-92,1,148023272,148023330,-,False_location
59,Gallus_gallus,Gga-Mir-19-P2a_pre,Mir-19,1,148023387,148023447,-,False_location
60,Gallus_gallus,Gga-Mir-17-P3a_pre,Mir-17,1,148023520,148023578,-,False_location
61,Gallus_gallus,Gga-Mir-19-P1_pre,Mir-19,1,148023695,148023752,-,False_location
62,Gallus_gallus,Gga-Mir-17-P2a_pre,Mir-17,1,148023835,148023898,-,False_location
63,Gallus_gallus,Gga-Mir-17-P1a_pre,Mir-17,1,148023985,148024045,-,False_location
64,Monodelphis_domestica,Mdo-Mir-7248_pre,Mir-7248,1,155944997,155945054,+,False_chromo
65,Anolis_carolinensis,Aca-Mir-30-P2a_pre,Mir-30,1,168132518,168132581,-,True
66,Anolis_carolinensis,Aca-Mir-30-P1a_pre,Mir-30,1,168155618,168155681,-,True
67,Gallus_gallus,Gga-Mir-15-P2a_pre,Mir-15,1,169399059,169399121,-,False_location
68,Gallus_gallus,Gga-Mir-15-P1a_pre,Mir-15,1,169399204,169399262,-,False_location
69,Monodelphis_domestica,Mdo-Mir-208-P1_pre,Mir-208,1,172794240,172794296,-,True
70,Monodelphis_domestica,Mdo-Mir-208-P2_pre,Mir-208,1,172843322,172843378,-,True
71,Anolis_carolinensis,Aca-Mir-138-P1_pre,Mir-138,1,193168238,193168298,+,True
72,Monodelphis_domestica,Mdo-Mir-7262-P3_pre,Mir-7262,1,195829696,195829754,-,False_chromo
73,Monodelphis_domestica,Mdo-Mir-147_pre,Mir-147,1,203612042,203612101,+,True
74,Anolis_carolinensis,Aca-Let-7-P2b3_pre,Let-7,1,205025693,205025770,-,True
75,Anolis_carolinensis,Aca-Let-7-P2a3_pre,Let-7,1,205026175,205026245,-,True
76,Anolis_carolinensis,Aca-Mir-5396-P2_pre,Mir-5396,1,213792664,213792723,-,False_chromo
77,Anolis_carolinensis,Aca-Mir-456_pre,Mir-456,1,231781997,231782057,-,False_chromo
78,Anolis_carolinensis,Aca-Mir-192-P2_pre,Mir-192,1,243290668,243290728,-,True
79,Anolis_carolinensis,Aca-Mir-194-P2_pre,Mir-194,1,243290942,243290997,-,True
80,Anolis_carolinensis,Aca-Mir-217-v2_pre,Mir-217,1,256233879,256233939,-,False_chromo
81,Anolis_carolinensis,Aca-Mir-217-v1_pre,Mir-217,1,256233880,256233938,-,False_chromo
82,Anolis_carolinensis,Aca-Mir-216-P1a_pre,Mir-216,1,256236305,256236366,-,False_chromo
83,Anolis_carolinensis,Aca-Mir-216-P1b_pre,Mir-216,1,256248887,256248949,-,False_chromo
84,Monodelphis_domestica,Mdo-Mir-325_pre,Mir-325,1,273898551,273898610,-,False_chromo
85,Monodelphis_domestica,Mdo-Mir-203-v1_pre,Mir-203,1,311187378,311187437,-,True
86,Monodelphis_domestica,Mdo-Mir-203-v2_pre,Mir-203,1,311187378,311187437,-,True
87,Monodelphis_domestica,Mdo-Mir-146-P1_pre,Mir-146,1,356034898,356034955,+,True
88,Monodelphis_domestica,Mdo-Mir-7251_pre,Mir-7251,1,366217902,366217964,+,False_chromo
89,Monodelphis_domestica,Mdo-Mir-103-P1_pre,Mir-103,1,367063033,367063092,-,True
90,Monodelphis_domestica,Mdo-Mir-218-P2_pre,Mir-218,1,367287193,367287256,-,True
91,Monodelphis_domestica,Mdo-Mir-145_pre,Mir-145,1,377173849,377173908,-,True
92,Monodelphis_domestica,Mdo-Mir-143_pre,Mir-143,1,377176754,377176808,-,True
93,Monodelphis_domestica,Mdo-Mir-499_pre,Mir-499,1,388424219,388424277,+,True
94,Monodelphis_domestica,Mdo-Mir-7254-v2_pre,Mir-7254,1,398141670,398141732,+,False_chromo
95,Monodelphis_domestica,Mdo-Mir-7254-v1_pre,Mir-7254,1,398141671,398141731,+,False_chromo
96,Monodelphis_domestica,Mdo-Mir-181-P1b_pre,Mir-181,1,419148106,419148167,+,False_location
97,Monodelphis_domestica,Mdo-Mir-181-P2b_pre,Mir-181,1,419149425,419149483,+,True
98,Monodelphis_domestica,Mdo-Mir-138-P2_pre,Mir-138,1,447811949,447812017,+,True
99,Monodelphis_domestica,Mdo-Mir-7361_pre,Mir-7361,1,449545256,449545318,-,False_chromo
100,Monodelphis_domestica,Mdo-Mir-455_pre,Mir-455,1,451465643,451465700,-,True
101,Monodelphis_domestica,Mdo-Mir-199-P1-v1_pre,Mir-199,1,453998873,453998933,-,True
102,Monodelphis_domestica,Mdo-Mir-199-P1-v2_pre,Mir-199,1,453998873,453998933,-,True
103,Monodelphis_domestica,Mdo-Mir-199-P1-v3_pre,Mir-199,1,453998873,453998933,-,True
104,Monodelphis_domestica,Mdo-Mir-219-P2_pre,Mir-219,1,454138621,454138685,-,False_strand
105,Monodelphis_domestica,Mdo-Mir-126-v1_pre,Mir-126,1,464882837,464882895,-,True
106,Monodelphis_domestica,Mdo-Mir-126-v2_pre,Mir-126,1,464882837,464882895,-,True
107,Monodelphis_domestica,Mdo-Mir-126-v3_pre,Mir-126,1,464882837,464882895,-,True
108,Monodelphis_domestica,Mdo-Mir-1388_pre,Mir-1388,1,472807067,472807126,+,False_chromo
109,Monodelphis_domestica,Mdo-Mir-124-P3-v1_pre,Mir-124,1,474834583,474834642,-,True
110,Monodelphis_domestica,Mdo-Mir-124-P3-v2_pre,Mir-124,1,474834584,474834642,-,True
111,Monodelphis_domestica,Mdo-Mir-133-P1-v1_pre,Mir-133,1,476650621,476650680,-,True
112,Monodelphis_domestica,Mdo-Mir-133-P1-v2_pre,Mir-133,1,476650621,476650680,-,True
113,Monodelphis_domestica,Mdo-Mir-1-P1_pre,Mir-1,1,476676455,476676515,-,True
114,Monodelphis_domestica,Mdo-Mir-1329_pre,Mir-1329,1,527897919,527897979,-,False_chromo
115,Monodelphis_domestica,Mdo-Mir-7244_pre,Mir-7244,1,553093580,553093636,-,False_chromo
116,Monodelphis_domestica,Mdo-Mir-2188_pre,Mir-2188,1,577087573,577087632,-,False_chromo
117,Monodelphis_domestica,Mdo-Mir-1540_pre,Mir-1540,1,580149267,580149325,+,False_chromo
118,Monodelphis_domestica,Mdo-Mir-124-P1-v1_pre,Mir-124,1,587846277,587846337,+,False_location
119,Monodelphis_domestica,Mdo-Mir-124-P1-v2_pre,Mir-124,1,587846277,587846336,+,False_location
120,Monodelphis_domestica,Mdo-Mir-216-P1b_pre,Mir-216,1,638478427,638478488,+,False_chromo
121,Monodelphis_domestica,Mdo-Mir-216-P1a_pre,Mir-216,1,638493866,638493927,+,False_chromo
122,Monodelphis_domestica,Mdo-Mir-217_pre,Mir-217,1,638507653,638507711,+,False_chromo
123,Monodelphis_domestica,Mdo-Mir-140-v1_pre,Mir-140,1,699870962,699871023,+,True
124,Monodelphis_domestica,Mdo-Mir-140-v2_pre,Mir-140,1,699870962,699871023,+,True
125,Monodelphis_domestica,Mdo-Mir-7246_pre,Mir-7246,1,704776839,704776899,-,False_chromo
126,Monodelphis_domestica,Mdo-Novel-4_pre,Novel-4,1,717207665,717207742,+,False_chromo
127,Monodelphis_domestica,Mdo-Mir-103-P2_pre,Mir-103,1,727148324,727148383,-,True
128,Monodelphis_domestica,Mdo-Mir-12316-v1_pre,Mir-12316,1,727221039,727221103,-,False_chromo
129,Monodelphis_domestica,Mdo-Mir-12316-v2_pre,Mir-12316,1,727221039,727221103,-,False_chromo
130,Gallus_gallus,Gga-Mir-190-P1_pre,Mir-190,10,4206014,4206071,-,False_location
131,Gallus_gallus,Gga-Mir-204-P2_pre,Mir-204,10,5628603,5628660,+,False_chromo
132,Gallus_gallus,Gga-Mir-1677-P3_pre,Mir-1677,10,9906412,9906474,+,False_chromo
133,Gallus_gallus,Gga-Mir-147_pre,Mir-147,10,10668523,10668582,+,False_location
134,Gallus_gallus,Gga-Mir-9-P3_pre,Mir-9,10,12934134,12934194,-,False_chromo
135,Gallus_gallus,Gga-Mir-1720_pre,Mir-1720,10,13134586,13134646,-,False_chromo
136,Gallus_gallus,Gga-Mir-7-P2_pre,Mir-7,10,13134736,13134799,-,False_location
137,Gallus_gallus,Gga-Mir-184_pre,Mir-184,10,19996782,19996843,+,False_location
138,Gallus_gallus,Gga-Mir-138-P2_pre,Mir-138,11,2104532,2104599,-,False_location
139,Gallus_gallus,Gga-Mir-1560_pre,Mir-1560,11,18874342,18874400,-,False_chromo
140,Gallus_gallus,Gga-Mir-140-v1_pre,Mir-140,11,19310321,19310382,+,False_location
141,Gallus_gallus,Gga-Mir-140-v2_pre,Mir-140,11,19310321,19310382,+,False_location
142,Gallus_gallus,Gga-Let-7-P2c3_pre,Let-7,12,2971912,2971989,-,False_location
143,Gallus_gallus,Gga-Mir-135-P1b_pre,Mir-135,12,2993586,2993646,-,False_location
144,Gallus_gallus,Gga-Mir-135-P1a_pre,Mir-135,12,2999010,2999070,-,False_location
145,Gallus_gallus,Gga-Let-7-P2c1_pre,Let-7,12,6091071,6091145,-,False_location
146,Gallus_gallus,Gga-Let-7-P2b1_pre,Let-7,12,6092107,6092183,-,False_location
147,Gallus_gallus,Gga-Let-7-P2a1_pre,Let-7,12,6092523,6092594,-,False_location
148,Gallus_gallus,Gga-Mir-1731_pre,Mir-1731,12,10660993,10661048,-,False_chromo
149,Gallus_gallus,Gga-Mir-1550_pre,Mir-1550,12,12877204,12877260,+,False_chromo
150,Gallus_gallus,Gga-Mir-218-P2_pre,Mir-218,13,4563954,4564017,+,False_location
151,Gallus_gallus,Gga-Mir-103-P1_pre,Mir-103,13,4689840,4689899,+,False_location
152,Gallus_gallus,Gga-Mir-146-P1_pre,Mir-146,13,7795787,7795850,-,False_chromo
153,Gallus_gallus,Gga-Mir-458_pre,Mir-458,13,8233340,8233397,-,False_chromo
154,Gallus_gallus,Gga-Mir-458-as_pre,Mir-458,13,8233342,8233399,+,False_chromo
155,Gallus_gallus,Gga-Mir-145_pre,Mir-145,13,8492498,8492557,-,False_location
156,Gallus_gallus,Gga-Mir-143_pre,Mir-143,13,8493110,8493164,-,False_location
157,Gallus_gallus,Gga-Mir-12223_pre,Mir-12223,13,17162742,17162796,-,False_chromo
158,Gallus_gallus,Gga-Mir-193-P1b_pre,Mir-193,14,764309,764367,+,False_location
159,Gallus_gallus,Gga-Mir-193-P2b_pre,Mir-193,14,769127,769187,+,False_location
160,Gallus_gallus,Gga-Mir-1781_pre,Mir-1781,14,3325527,3325585,-,False_chromo
161,Gallus_gallus,Gga-Mir-33-P2_pre,Mir-33,14,4937956,4938015,-,False_chromo
162,Gallus_gallus,Gga-Mir-1551_pre,Mir-1551,14,5241021,5241084,+,False_chromo
163,Gallus_gallus,Gga-Mir-130-P1b_pre,Mir-130,15,399155,399215,-,False_location
164,Gallus_gallus,Gga-Mir-130-P4b_pre,Mir-130,15,400289,400352,-,False_location
165,Gallus_gallus,Gga-Mir-130-P2b_pre,Mir-130,15,406757,406815,-,False_location
166,Gallus_gallus,Gga-Mir-130-P3b_pre,Mir-130,15,407978,408036,-,False_location
167,Gallus_gallus,Gga-Mir-1729_pre,Mir-1729,15,762739,762801,+,False_chromo
168,Rattus_norvegicus,Rno-Mir-192-P2_pre,Mir-192,159423064,546,604,-,False_chromo
169,Cavia_porcellus,Cpo-Mir-124-P3-v1_pre,Mir-124,1606391089,52,111,-,False_chromo
170,Cavia_porcellus,Cpo-Mir-124-P3-v2_pre,Mir-124,1606391089,53,111,-,False_chromo
171,Rattus_norvegicus,Rno-Mir-486_pre,Mir-486,1621823597,128,190,-,False_chromo
172,Cavia_porcellus,Cpo-Mir-219-P1_pre,Mir-219,1646358196,140,203,+,False_chromo
173,Rattus_norvegicus,Rno-Mir-335_pre,Mir-335,1660748194,214,275,+,False_chromo
174,Gallus_gallus,Gga-Mir-7441_pre,Mir-7441,17,2569205,2569267,+,False_chromo
175,Gallus_gallus,Gga-Mir-455_pre,Mir-455,17,5239506,5239563,+,False_location
176,Gallus_gallus,Gga-Mir-219-P2_pre,Mir-219,17,5485257,5485323,+,False_location
177,Gallus_gallus,Gga-Mir-199-P1-v1_pre,Mir-199,17,5571593,5571653,+,False_location
178,Gallus_gallus,Gga-Mir-199-P1-v2_pre,Mir-199,17,5571593,5571653,+,False_location
179,Gallus_gallus,Gga-Mir-199-P1-v3_pre,Mir-199,17,5571593,5571653,+,False_location
180,Gallus_gallus,Gga-Mir-126-v1_pre,Mir-126,17,8233325,8233383,-,False_location
181,Gallus_gallus,Gga-Mir-126-v2_pre,Mir-126,17,8233325,8233383,-,False_location
182,Gallus_gallus,Gga-Mir-126-v3_pre,Mir-126,17,8233325,8233383,-,False_location
183,Gallus_gallus,Gga-Mir-181-P1b_pre,Mir-181,17,9982155,9982215,+,False_location
184,Gallus_gallus,Gga-Mir-181-P2b_pre,Mir-181,17,9983787,9983846,+,False_location
185,Dasypus_novemcinctus,Dno-Mir-8-P1a_pre,Mir-8,1755814140_name_237830476_mate_1755870925,802,862,+,False_chromo
186,Gallus_gallus,Gga-Mir-193-P1a_pre,Mir-193,18,6491337,6491395,+,False_location
187,Gallus_gallus,Gga-Mir-193-P2a_pre,Mir-193,18,6504869,6504930,+,False_location
188,Gallus_gallus,Gga-Mir-338-P1_pre,Mir-338,18,9383535,9383595,+,False_location
189,Dasypus_novemcinctus,Dno-Mir-124-P1-v1_pre,Mir-124,1812924288_name_238801685_mate_1812919966,585,645,-,False_chromo
190,Dasypus_novemcinctus,Dno-Mir-124-P1-v2_pre,Mir-124,1812924288_name_238801685_mate_1812919966,586,645,-,False_chromo
191,Dasypus_novemcinctus,Dno-Mir-1247_pre,Mir-1247,1856299926_name_242414572_mate_1856245667,64,121,+,False_chromo
192,Dasypus_novemcinctus,Dno-Mir-148-P2_pre,Mir-148,1890563092_name_248666480_mate_1890567939,799,855,-,False_chromo
193,Gallus_gallus,Gga-Mir-142-P3-v4_pre,Mir-142,19,510424,510487,-,False_location
194,Gallus_gallus,Gga-Mir-142-P3-v1_pre,Mir-142,19,510426,510485,-,False_location
195,Gallus_gallus,Gga-Mir-142-P3-v2_pre,Mir-142,19,510426,510485,-,False_location
196,Gallus_gallus,Gga-Mir-142-P3-v3_pre,Mir-142,19,510426,510485,-,False_location
197,Gallus_gallus,Gga-Mir-22-P1a_pre,Mir-22,19,5380365,5380427,-,False_chromo
198,Gallus_gallus,Gga-Mir-451_pre,Mir-451,19,5863046,5863087,-,False_location
199,Gallus_gallus,Gga-Mir-144_pre,Mir-144,19,5863202,5863259,-,False_location
200,Gallus_gallus,Gga-Mir-130-P2a_pre,Mir-130,19,7202706,7202765,-,False_location
201,Gallus_gallus,Gga-Mir-130-P3a_pre,Mir-130,19,7202993,7203053,-,False_location
202,Gallus_gallus,Gga-Mir-21_pre,Mir-21,19,7376264,7376324,+,False_location
203,Gallus_gallus,Gga-Mir-1689_pre,Mir-1689,19,9416349,9416411,-,False_chromo
204,Oryctolagus_cuniculus,Ocu-Mir-92-P1c_pre,Mir-92,1935211406,269,332,+,False_chromo
205,Oryctolagus_cuniculus,Ocu-Mir-9-P3_pre,Mir-9,1937863118,363,423,-,False_chromo
206,Oryctolagus_cuniculus,Ocu-Mir-33-P2_pre,Mir-33,1944924069,423,481,-,False_chromo
207,Oryctolagus_cuniculus,Ocu-Mir-210_pre,Mir-210,1947597656,49,108,+,False_chromo
208,Oryctolagus_cuniculus,Ocu-Mir-202_pre,Mir-202,1964293620,526,583,+,False_chromo
209,Oryctolagus_cuniculus,Ocu-Mir-132-P1_pre,Mir-132,1964940977,210,268,-,False_chromo
210,Oryctolagus_cuniculus,Ocu-Mir-1-P1_pre,Mir-1,1985387934,431,491,+,False_chromo
211,Oryctolagus_cuniculus,Ocu-Mir-483_pre,Mir-483,1987813688,50,110,-,False_chromo
212,Oryctolagus_cuniculus,Ocu-Mir-493_pre,Mir-493,1989487067,219,280,-,False_chromo
213,Oryctolagus_cuniculus,Ocu-Mir-615_pre,Mir-615,1992045267,125,188,-,False_chromo
214,Oryctolagus_cuniculus,Ocu-Mir-7-P2_pre,Mir-7,1995007670,164,225,-,False_chromo
215,Oryctolagus_cuniculus,Ocu-Mir-149_pre,Mir-149,1995685930,193,255,-,False_chromo
216,Gallus_gallus,Gga-Mir-10585_pre,Mir-10585,2,412761,412820,+,False_chromo
217,Gallus_gallus,Gga-Mir-1662_pre,Mir-1662,2,1839188,1839245,+,False_chromo
218,Anolis_carolinensis,Aca-Mir-34-P3c_pre,Mir-34,2,2663692,2663757,+,False_location
219,Anolis_carolinensis,Aca-Mir-34-P3a_pre,Mir-34,2,2665578,2665639,+,True
220,Anolis_carolinensis,Aca-Mir-34-P3d_pre,Mir-34,2,2666240,2666298,+,False_location
221,Gallus_gallus,Gga-Mir-460-P1_pre,Mir-460,2,3692594,3692652,+,False_chromo
222,Gallus_gallus,Gga-Mir-26-P3_pre,Mir-26,2,4575303,4575363,+,False_location
223,Gallus_gallus,Gga-Mir-153-P2_pre,Mir-153,2,8846578,8846638,-,False_location
224,Monodelphis_domestica,Mdo-Mir-186_pre,Mir-186,2,20448573,20448633,+,True
225,Anolis_carolinensis,Aca-Mir-9-P2_pre,Mir-9,2,21613005,21613064,-,True
226,Monodelphis_domestica,Mdo-Mir-7284_pre,Mir-7284,2,21758873,21758934,-,False_chromo
227,Gallus_gallus,Gga-Mir-489-v2_pre,Mir-489,2,23147310,23147371,-,False_location
228,Gallus_gallus,Gga-Mir-489-v1_pre,Mir-489,2,23147311,23147370,-,False_location
229,Gallus_gallus,Gga-Mir-1685_pre,Mir-1685,2,24811615,24811678,+,False_chromo
230,Anolis_carolinensis,Aca-Mir-5435_pre,Mir-5435,2,25825607,25825663,+,False_chromo
231,Monodelphis_domestica,Mdo-Mir-101-P1-v2_pre,Mir-101,2,26267875,26267933,+,True
232,Monodelphis_domestica,Mdo-Mir-101-P1-v1_pre,Mir-101,2,26267876,26267932,+,True
233,Anolis_carolinensis,Aca-Mir-24-P1_pre,Mir-24,2,29157652,29157711,-,False_location
234,Anolis_carolinensis,Aca-Mir-27-P1_pre,Mir-27,2,29157937,29157998,-,False_location
235,Anolis_carolinensis,Aca-Mir-23-P1_pre,Mir-23,2,29158349,29158408,-,False_location
236,Gallus_gallus,Gga-Mir-148-P1_pre,Mir-148,2,32178257,32178316,-,False_location
237,Gallus_gallus,Gga-Mir-196-P3e_pre,Mir-196,2,32707494,32707552,-,False_location
238,Gallus_gallus,Gga-Mir-196-P3f_pre,Mir-196,2,32707494,32707552,-,False_location
239,Gallus_gallus,Gga-Mir-196-P3g_pre,Mir-196,2,32707494,32707552,-,False_location
240,Monodelphis_domestica,Mdo-Mir-7281_pre,Mir-7281,2,37484368,37484427,+,False_chromo
241,Anolis_carolinensis,Aca-Mir-24-P2_pre,Mir-24,2,40591325,40591384,-,True
242,Anolis_carolinensis,Aca-Mir-27-P2_pre,Mir-27,2,40591779,40591841,-,True
243,Anolis_carolinensis,Aca-Mir-23-P2_pre,Mir-23,2,40592005,40592064,-,True
244,Gallus_gallus,Gga-Mir-138-P1_pre,Mir-138,2,40874185,40874245,-,False_location
245,Anolis_carolinensis,Aca-Mir-7-P1_pre,Mir-7,2,42574659,42574722,+,True
246,Monodelphis_domestica,Mdo-Mir-7262-P2_pre,Mir-7262,2,44490335,44490394,-,False_chromo
247,Gallus_gallus,Gga-Mir-128-P2_pre,Mir-128,2,45670127,45670184,+,False_location
248,Anolis_carolinensis,Aca-Mir-204-P1_pre,Mir-204,2,48871989,48872048,+,True
249,Anolis_carolinensis,Aca-Mir-101-P2-v2_pre,Mir-101,2,52137657,52137715,+,True
250,Anolis_carolinensis,Aca-Mir-101-P2-v1_pre,Mir-101,2,52137658,52137714,+,True
251,Anolis_carolinensis,Aca-Mir-31_pre,Mir-31,2,61607441,61607499,+,True
252,Monodelphis_domestica,Mdo-Mir-214-v1_pre,Mir-214,2,64368096,64368158,-,True
253,Monodelphis_domestica,Mdo-Mir-214-v2_pre,Mir-214,2,64368096,64368158,-,True
254,Monodelphis_domestica,Mdo-Mir-199-P3-v1_pre,Mir-199,2,64374174,64374234,-,True
255,Monodelphis_domestica,Mdo-Mir-199-P3-v2_pre,Mir-199,2,64374174,64374234,-,True
256,Monodelphis_domestica,Mdo-Mir-199-P3-v3_pre,Mir-199,2,64374174,64374234,-,True
257,Anolis_carolinensis,Aca-Mir-26-P2_pre,Mir-26,2,67040511,67040571,-,True
258,Anolis_carolinensis,Aca-Mir-148-P3_pre,Mir-148,2,71202722,71202782,-,True
259,Anolis_carolinensis,Aca-Mir-10-P1c-v1_pre,Mir-10,2,71991631,71991690,-,False_chromo
260,Anolis_carolinensis,Aca-Mir-10-P1c-v2_pre,Mir-10,2,71991632,71991689,-,False_chromo
261,Anolis_carolinensis,Aca-Mir-196-P2_pre,Mir-196,2,72077189,72077246,-,True
262,Anolis_carolinensis,Aca-Mir-181-P2c_pre,Mir-181,2,77114305,77114366,-,False_chromo
263,Anolis_carolinensis,Aca-Mir-181-P1c_pre,Mir-181,2,77116241,77116302,-,False_chromo
264,Anolis_carolinensis,Aca-Mir-137-P2_pre,Mir-137,2,79052114,79052172,-,False_chromo
265,Anolis_carolinensis,Aca-Mir-199-P2-v1_pre,Mir-199,2,80766239,80766301,-,True
266,Anolis_carolinensis,Aca-Mir-199-P2-v2_pre,Mir-199,2,80766239,80766301,-,True
267,Anolis_carolinensis,Aca-Mir-199-P2-v3_pre,Mir-199,2,80766239,80766301,-,True
268,Gallus_gallus,Gga-Mir-187_pre,Mir-187,2,83889632,83889688,+,False_location
269,Gallus_gallus,Gga-Mir-1677-P6_pre,Mir-1677,2,83896085,83896142,+,False_chromo
270,Gallus_gallus,Gga-Mir-32_pre,Mir-32,2,84498506,84498567,-,False_location
271,Anolis_carolinensis,Aca-Mir-726_pre,Mir-726,2,88642252,88642312,-,False_chromo
272,Anolis_carolinensis,Aca-Mir-5397_pre,Mir-5397,2,92804660,92804720,+,False_chromo
